Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,2063655312,1967339464,1.0490,16.2948,12.6907
ans,1024,2063655312,1125506264,1.8335,28.1312,24.6416
ans,2048,2063655312,720482148,2.8643,53.6166,57.4828
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,2063655312,502113460,4.1099,138.3082,151.0145
ans,16384,2063655312,418117502,4.9356,224.6698,239.2602
ans,32768,2063655312,376760796,5.4774,281.7797,306.4145
ans,65536,2063655312,355090214,5.8116,318.0695,341.6901
ans,1048576,2063655312,333803326,6.1822,329.9424,353.7456
ans,2097152,2063655312,333517386,6.1875,326.5211,340.7081
ans,4194304,2063655312,333370454,6.1903,321.0592,342.0961
ans,8388608,2063655312,333297584,6.1916,299.2706,342.4449
ans,16777216,2063655312,333258770,6.1924,259.1011,341.8060
ans,33554432,N/A,N/A,N/A,N/A,N/A
ans,67108864,N/A,N/A,N/A,N/A,N/A
bitcomp,256,2063655312,1503020316,1.3730,16.5715,20.5782
bitcomp,512,2063655312,1268297524,1.6271,31.1333,39.5085
bitcomp,1024,2063655312,1150897560,1.7931,51.9190,74.5134
bitcomp,2048,2063655312,1092198612,1.8895,100.4981,115.4033
bitcomp,4096,2063655312,1062848040,1.9416,194.2634,171.1498
bitcomp,8192,2063655312,1045718560,1.9734,371.8244,228.4907
bitcomp,16384,2063655312,1041687968,1.9811,473.0724,238.4392
bitcomp,32768,2063655312,1039672672,1.9849,484.6773,293.5171
bitcomp,65536,2063655312,1038665024,1.9868,482.9352,293.9024
bitcomp,1048576,2063655312,1037720384,1.9886,455.0211,263.8157
bitcomp,2097152,2063655312,1037688896,1.9887,418.7177,244.0112
bitcomp,4194304,2063655312,1037673152,1.9887,376.6190,231.0051
bitcomp,8388608,2063655312,1037665280,1.9887,306.5544,147.5321
bitcomp,16777216,2063655312,1037661344,1.9888,195.6021,83.4315
bitcomp,33554432,N/A,N/A,N/A,N/A,N/A
bitcomp,67108864,N/A,N/A,N/A,N/A,N/A
