Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,5159964740,1801567244,2.8642,54.7691,49.1138
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
ans,1048576,N/A,N/A,N/A,N/A,N/A
ans,2097152,N/A,N/A,N/A,N/A,N/A
ans,4194304,N/A,N/A,N/A,N/A,N/A
ans,8388608,N/A,N/A,N/A,N/A,N/A
ans,16777216,N/A,N/A,N/A,N/A,N/A
ans,33554432,N/A,N/A,N/A,N/A,N/A
ans,67108864,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,5159964740,2877870352,1.7930,51.9675,74.6622
bitcomp,2048,5159964740,2731095804,1.8893,104.5030,115.6961
bitcomp,4096,5159964740,2657706844,1.9415,194.7074,171.7050
bitcomp,8192,5159964740,2614879908,1.9733,373.7320,229.4848
bitcomp,16384,5159964740,2604801860,1.9809,393.8279,239.4406
bitcomp,32768,5159964740,2599762820,1.9848,402.3176,244.6011
bitcomp,65536,5159964740,2597243300,1.9867,402.0608,246.3590
bitcomp,1048576,5159964740,2594881252,1.9885,481.3745,239.5089
bitcomp,2097152,5159964740,2594802532,1.9886,399.0045,227.0446
bitcomp,4194304,5159964740,2594763172,1.9886,443.1083,263.1209
bitcomp,8388608,5159964740,2594743492,1.9886,415.4871,255.6325
bitcomp,16777216,5159964740,2594733636,1.9886,383.7505,183.6180
bitcomp,33554432,N/A,N/A,N/A,N/A,N/A
bitcomp,67108864,N/A,N/A,N/A,N/A,N/A
