Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,N/A,N/A,N/A,N/A,N/A
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
ans,1048576,N/A,N/A,N/A,N/A,N/A
ans,2097152,N/A,N/A,N/A,N/A,N/A
ans,4194304,N/A,N/A,N/A,N/A,N/A
ans,8388608,N/A,N/A,N/A,N/A,N/A
ans,16777216,N/A,N/A,N/A,N/A,N/A
ans,33554432,N/A,N/A,N/A,N/A,N/A
ans,67108864,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,N/A,N/A,N/A,N/A,N/A
bitcomp,2048,N/A,N/A,N/A,N/A,N/A
bitcomp,4096,20639072576,10630286840,1.9415,209.3779,171.9798
bitcomp,8192,20639072576,10458996600,1.9733,374.4259,229.6722
bitcomp,16384,20639072576,10418685912,1.9810,394.3445,239.8817
bitcomp,32768,20639072576,10398530552,1.9848,403.5185,296.0016
bitcomp,65536,20639072576,10388452888,1.9867,403.3408,298.1428
bitcomp,1048576,20639072576,10379005048,1.9885,425.7482,298.9786
bitcomp,2097152,20639072576,10378690136,1.9886,401.7169,295.6673
bitcomp,4194304,20639072576,10378532664,1.9886,404.0605,238.5982
bitcomp,8388608,20639072576,10378453944,1.9886,474.8020,282.5093
bitcomp,16777216,20639072576,10378414584,1.9887,443.7939,263.7961
bitcomp,33554432,N/A,N/A,N/A,N/A,N/A
bitcomp,67108864,N/A,N/A,N/A,N/A,N/A
