Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,5159964740,1801567244,2.8642,54.7691,49.1138
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,5159964740,2877870352,1.7930,51.9675,74.6622
bitcomp,2048,5159964740,2731095804,1.8893,104.5030,115.6961
bitcomp,4096,5159964740,2657706844,1.9415,194.7074,171.7050
bitcomp,8192,5159964740,2614879908,1.9733,373.7320,229.4848
bitcomp,16384,5159964740,2604801860,1.9809,393.8279,239.4406
bitcomp,32768,5159964740,2599762820,1.9848,402.3176,244.6011
bitcomp,65536,5159964740,2597243300,1.9867,402.0608,246.3590
cascaded,256,5159964740,2392427500,2.1568,18.2289,21.3263
cascaded,512,5159964740,1927527928,2.6770,31.4483,39.6521
cascaded,1024,5159964740,1688042148,3.0568,47.0955,59.2082
cascaded,2048,5159964740,1565571284,3.2959,83.3779,99.8698
cascaded,4096,5159964740,1516072616,3.4035,90.5291,135.2251
cascaded,8192,5159964740,1511033584,3.4149,92.5492,152.6978
cascaded,16384,5159964740,1508514072,3.4206,112.1728,153.8916
cascaded,32768,5159964740,1507254312,3.4234,92.6071,157.3320
cascaded,65536,5159964740,1506624432,3.4249,112.3780,192.2706
deflate,256,N/A,N/A,N/A,N/A,N/A
deflate,512,N/A,N/A,N/A,N/A,N/A
deflate,1024,N/A,N/A,N/A,N/A,N/A
deflate,2048,N/A,N/A,N/A,N/A,N/A
deflate,4096,5159964740,1304519894,3.9555,11.4838,21.5301
deflate,8192,5159964740,1323803977,3.8978,12.4970,25.5886
deflate,16384,5159964740,1371206051,3.7631,12.8346,28.0959
deflate,32768,5159964740,1434079266,3.5981,13.4413,29.3770
deflate,65536,5159964740,1408977732,3.6622,13.1280,30.4760
gdeflate,256,N/A,N/A,N/A,N/A,N/A
gdeflate,512,N/A,N/A,N/A,N/A,N/A
gdeflate,1024,N/A,N/A,N/A,N/A,N/A
gdeflate,2048,N/A,N/A,N/A,N/A,N/A
gdeflate,4096,5159964740,1543643604,3.3427,12.4510,77.6238
gdeflate,8192,5159964740,1443393168,3.5749,13.4413,85.5770
gdeflate,16384,5159964740,1431028512,3.6058,13.6907,88.8906
gdeflate,32768,5159964740,1464007888,3.5245,13.1632,90.6479
gdeflate,65536,5159964740,1423958952,3.6237,13.2738,91.3331
lz4,256,N/A,N/A,N/A,N/A,N/A
lz4,512,N/A,N/A,N/A,N/A,N/A
lz4,1024,N/A,N/A,N/A,N/A,N/A
lz4,2048,N/A,N/A,N/A,N/A,N/A
lz4,4096,5159964740,2086932230,2.4725,17.1550,51.3673
lz4,8192,5159964740,2053253537,2.5131,16.1634,52.3905
lz4,16384,5159964740,2073836475,2.4881,15.4040,51.7923
lz4,32768,5159964740,2065331035,2.4984,15.9624,51.6760
lz4,65536,5159964740,2061028763,2.5036,15.3855,51.1270
snappy,256,5159964740,2179140253,2.3679,14.7753,30.2192
snappy,512,5159964740,1872020506,2.7564,13.2684,38.3938
snappy,1024,5159964740,1668491064,3.0926,12.1406,47.6986
snappy,2048,5159964740,1545137154,3.3395,12.1066,55.7193
snappy,4096,5159964740,1474936242,3.4984,11.4821,62.1282
snappy,8192,5159964740,1435610673,3.5943,10.8137,80.0379
snappy,16384,5159964740,1414611957,3.6476,10.6681,82.7671
snappy,32768,5159964740,1403229220,3.6772,10.3540,84.1676
snappy,65536,5159964740,1397494692,3.6923,10.9295,84.3747
zstd,256,N/A,N/A,N/A,N/A,N/A
zstd,512,N/A,N/A,N/A,N/A,N/A
zstd,1024,5159964740,1212477114,4.2557,4.6184,9.1996
zstd,2048,5159964740,964706704,5.3487,6.6828,13.6653
zstd,4096,5159964740,857639399,6.0165,9.5024,19.9679
zstd,8192,5159964740,797501945,6.4702,10.7432,30.2624
zstd,16384,5159964740,764592631,6.7486,11.0916,33.0786
zstd,32768,5159964740,746639577,6.9109,11.2407,38.5698
zstd,65536,5159964740,736766709,7.0035,11.5457,45.7183
