Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,N/A,N/A,N/A,N/A,N/A
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,N/A,N/A,N/A,N/A,N/A
bitcomp,2048,10317600944,5461001000,1.8893,100.9152,115.7923
bitcomp,4096,10317600944,5314260420,1.9415,205.0883,171.9857
bitcomp,8192,10317600944,5228629772,1.9733,374.3000,229.6108
bitcomp,16384,10317600944,5208478220,1.9809,409.5014,257.5346
bitcomp,32768,10317600944,5198402444,1.9848,403.2571,245.0634
bitcomp,65536,10317600944,5193364556,1.9867,403.1926,246.9252
cascaded,256,N/A,N/A,N/A,N/A,N/A
cascaded,512,N/A,N/A,N/A,N/A,N/A
cascaded,1024,10317600944,3375382016,3.0567,51.5900,67.7368
cascaded,2048,10317600944,3130469376,3.2959,76.4963,100.7377
cascaded,4096,10317600944,3031458864,3.4035,91.5032,135.2145
cascaded,8192,10317600944,3021383080,3.4149,91.3091,147.2465
cascaded,16384,10317600944,3016345192,3.4206,99.7257,173.1799
cascaded,32768,10317600944,3013826248,3.4234,97.3383,190.6595
cascaded,65536,10317600944,3012566776,3.4249,95.6356,192.6388
deflate,256,N/A,N/A,N/A,N/A,N/A
deflate,512,N/A,N/A,N/A,N/A,N/A
deflate,1024,N/A,N/A,N/A,N/A,N/A
deflate,2048,N/A,N/A,N/A,N/A,N/A
deflate,4096,N/A,N/A,N/A,N/A,N/A
deflate,8192,N/A,N/A,N/A,N/A,N/A
deflate,16384,N/A,N/A,N/A,N/A,N/A
deflate,32768,N/A,N/A,N/A,N/A,N/A
deflate,65536,N/A,N/A,N/A,N/A,N/A
gdeflate,256,N/A,N/A,N/A,N/A,N/A
gdeflate,512,N/A,N/A,N/A,N/A,N/A
gdeflate,1024,N/A,N/A,N/A,N/A,N/A
gdeflate,2048,N/A,N/A,N/A,N/A,N/A
gdeflate,4096,N/A,N/A,N/A,N/A,N/A
gdeflate,8192,N/A,N/A,N/A,N/A,N/A
gdeflate,16384,N/A,N/A,N/A,N/A,N/A
gdeflate,32768,N/A,N/A,N/A,N/A,N/A
gdeflate,65536,N/A,N/A,N/A,N/A,N/A
lz4,256,N/A,N/A,N/A,N/A,N/A
lz4,512,N/A,N/A,N/A,N/A,N/A
lz4,1024,N/A,N/A,N/A,N/A,N/A
lz4,2048,N/A,N/A,N/A,N/A,N/A
lz4,4096,N/A,N/A,N/A,N/A,N/A
lz4,8192,10317600944,4105549469,2.5131,16.6114,47.1805
lz4,16384,10317600944,4146186311,2.4885,16.1091,52.1748
lz4,32768,10317600944,4129036920,2.4988,15.9239,52.2329
lz4,65536,10317600944,4120350033,2.5041,16.1712,51.8937
snappy,256,10317600944,4357340092,2.3679,15.1401,32.4296
snappy,512,10317600944,3743232917,2.7563,13.5599,37.1777
snappy,1024,10317600944,3336267725,3.0926,12.7954,49.5507
snappy,2048,10317600944,3089547904,3.3395,12.2879,55.7236
snappy,4096,10317600944,2949194823,3.4984,11.4490,62.1409
snappy,8192,10317600944,2870545200,3.5943,11.0344,66.3068
snappy,16384,10317600944,2828545527,3.6477,10.8441,82.8969
snappy,32768,10317600944,2805790275,3.6773,10.7207,84.5142
snappy,65536,10317600944,2794316272,3.6924,11.1027,85.0736
zstd,256,N/A,N/A,N/A,N/A,N/A
zstd,512,N/A,N/A,N/A,N/A,N/A
zstd,1024,N/A,N/A,N/A,N/A,N/A
zstd,2048,N/A,N/A,N/A,N/A,N/A
zstd,4096,10317600944,1714885857,6.0165,9.7932,20.3434
zstd,8192,10317600944,1594616987,6.4703,11.1317,27.5669
zstd,16384,10317600944,1528813506,6.7488,11.7358,33.3153
zstd,32768,10317600944,1492919428,6.9110,11.7905,38.3797
zstd,65536,10317600944,1473174480,7.0037,12.2109,46.7923
