Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,N/A,N/A,N/A,N/A,N/A
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,N/A,N/A,N/A,N/A,N/A
bitcomp,2048,N/A,N/A,N/A,N/A,N/A
bitcomp,4096,20639072576,10630286840,1.9415,209.3779,171.9798
bitcomp,8192,20639072576,10458996600,1.9733,374.4259,229.6722
bitcomp,16384,20639072576,10418685912,1.9810,394.3445,239.8817
bitcomp,32768,20639072576,10398530552,1.9848,403.5185,296.0016
bitcomp,65536,20639072576,10388452888,1.9867,403.3408,298.1428
cascaded,256,N/A,N/A,N/A,N/A,N/A
cascaded,512,20639072576,7709788616,2.6770,36.1533,45.1347
cascaded,1024,20639072576,6752008048,3.0567,52.6414,71.5978
cascaded,2048,20639072576,6262085260,3.2959,75.5252,99.9506
cascaded,4096,20639072576,6064086864,3.4035,101.4999,135.2626
cascaded,8192,20639072576,6043931520,3.4148,108.1081,152.7244
cascaded,16384,20639072576,6033853848,3.4205,110.0856,154.6094
cascaded,32768,20639072576,6028815008,3.4234,101.6945,190.6844
cascaded,65536,20639072576,6026295592,3.4248,100.9342,192.8999
deflate,256,N/A,N/A,N/A,N/A,N/A
deflate,512,N/A,N/A,N/A,N/A,N/A
deflate,1024,N/A,N/A,N/A,N/A,N/A
deflate,2048,N/A,N/A,N/A,N/A,N/A
deflate,4096,N/A,N/A,N/A,N/A,N/A
deflate,8192,N/A,N/A,N/A,N/A,N/A
deflate,16384,N/A,N/A,N/A,N/A,N/A
deflate,32768,N/A,N/A,N/A,N/A,N/A
deflate,65536,N/A,N/A,N/A,N/A,N/A
gdeflate,256,N/A,N/A,N/A,N/A,N/A
gdeflate,512,N/A,N/A,N/A,N/A,N/A
gdeflate,1024,N/A,N/A,N/A,N/A,N/A
gdeflate,2048,N/A,N/A,N/A,N/A,N/A
gdeflate,4096,N/A,N/A,N/A,N/A,N/A
gdeflate,8192,N/A,N/A,N/A,N/A,N/A
gdeflate,16384,N/A,N/A,N/A,N/A,N/A
gdeflate,32768,N/A,N/A,N/A,N/A,N/A
gdeflate,65536,N/A,N/A,N/A,N/A,N/A
lz4,256,N/A,N/A,N/A,N/A,N/A
lz4,512,N/A,N/A,N/A,N/A,N/A
lz4,1024,N/A,N/A,N/A,N/A,N/A
lz4,2048,N/A,N/A,N/A,N/A,N/A
lz4,4096,N/A,N/A,N/A,N/A,N/A
lz4,8192,N/A,N/A,N/A,N/A,N/A
lz4,16384,20639072576,8293735149,2.4885,16.6880,48.1163
lz4,32768,20639072576,8259527147,2.4988,16.5548,50.2384
lz4,65536,20639072576,8241717770,2.5042,16.4610,52.4808
snappy,256,N/A,N/A,N/A,N/A,N/A
snappy,512,20639072576,7487775527,2.7564,14.0781,40.3812
snappy,1024,20639072576,6673720394,3.0926,13.0862,51.5570
snappy,2048,20639072576,6180191439,3.3396,12.2989,58.6738
snappy,4096,20639072576,5899418853,3.4985,11.6219,64.9395
snappy,8192,20639072576,5742096324,3.5943,11.2124,70.3581
snappy,16384,20639072576,5658102565,3.6477,10.9075,74.4787
snappy,32768,20639072576,5612576721,3.6773,10.6666,74.1283
snappy,65536,20639072576,5589619485,3.6924,11.2562,85.4102
zstd,256,N/A,N/A,N/A,N/A,N/A
zstd,512,N/A,N/A,N/A,N/A,N/A
zstd,1024,N/A,N/A,N/A,N/A,N/A
zstd,2048,N/A,N/A,N/A,N/A,N/A
zstd,4096,N/A,N/A,N/A,N/A,N/A
zstd,8192,N/A,N/A,N/A,N/A,N/A
zstd,16384,N/A,N/A,N/A,N/A,N/A
zstd,32768,N/A,N/A,N/A,N/A,N/A
zstd,65536,N/A,N/A,N/A,N/A,N/A
