Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,2063655312,1967339464,1.0490,16.2948,12.6907
ans,1024,2063655312,1125506264,1.8335,28.1312,24.6416
ans,2048,2063655312,720482148,2.8643,53.6166,57.4828
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,2063655312,502113460,4.1099,138.3082,151.0145
ans,16384,2063655312,418117502,4.9356,224.6698,239.2602
ans,32768,2063655312,376760796,5.4774,281.7797,306.4145
ans,65536,2063655312,355090214,5.8116,318.0695,341.6901
bitcomp,256,2063655312,1503020316,1.3730,16.5715,20.5782
bitcomp,512,2063655312,1268297524,1.6271,31.1333,39.5085
bitcomp,1024,2063655312,1150897560,1.7931,51.9190,74.5134
bitcomp,2048,2063655312,1092198612,1.8895,100.4981,115.4033
bitcomp,4096,2063655312,1062848040,1.9416,194.2634,171.1498
bitcomp,8192,2063655312,1045718560,1.9734,371.8244,228.4907
bitcomp,16384,2063655312,1041687968,1.9811,473.0724,238.4392
bitcomp,32768,2063655312,1039672672,1.9849,484.6773,293.5171
bitcomp,65536,2063655312,1038665024,1.9868,482.9352,293.9024
cascaded,256,2063655312,956796016,2.1568,17.0112,20.9172
cascaded,512,2063655312,770829988,2.6772,31.0498,39.5838
cascaded,1024,2063655312,675047136,3.0571,46.6351,63.0941
cascaded,2048,2063655312,626051600,3.2963,68.6266,99.8112
cascaded,4096,2063655312,606233816,3.4041,90.3636,135.1726
cascaded,8192,2063655312,604218528,3.4154,90.9960,147.0691
cascaded,16384,2063655312,603210880,3.4211,111.8921,153.8623
cascaded,32768,2063655312,602707056,3.4240,111.8486,189.6921
cascaded,65536,2063655312,602455144,3.4254,111.7184,190.9140
deflate,256,N/A,N/A,N/A,N/A,N/A
deflate,512,N/A,N/A,N/A,N/A,N/A
deflate,1024,2063655312,578312758,3.5684,7.4245,9.6977
deflate,2048,2063655312,532460797,3.8757,9.5704,16.3523
deflate,4096,2063655312,521683682,3.9558,10.9293,21.4751
deflate,8192,2063655312,529383933,3.8982,11.4041,25.5533
deflate,16384,2063655312,548415100,3.7629,13.8906,27.8933
deflate,32768,2063655312,573426054,3.5988,13.8514,28.8475
deflate,65536,2063655312,563473273,3.6624,13.7538,29.6453
gdeflate,256,N/A,N/A,N/A,N/A,N/A
gdeflate,512,N/A,N/A,N/A,N/A,N/A
gdeflate,1024,2063655312,963459440,2.1419,8.3026,34.9379
gdeflate,2048,2063655312,723163152,2.8537,10.0059,61.5788
gdeflate,4096,2063655312,617313816,3.3430,11.9470,77.3208
gdeflate,8192,2063655312,577210708,3.5752,12.5284,85.4262
gdeflate,16384,2063655312,572337072,3.6057,11.8175,88.2312
gdeflate,32768,2063655312,585398364,3.5252,14.1305,89.2629
gdeflate,65536,2063655312,569464848,3.6239,14.0686,89.2352
lz4,256,N/A,N/A,N/A,N/A,N/A
lz4,512,N/A,N/A,N/A,N/A,N/A
lz4,1024,2063655312,875024605,2.3584,17.9016,38.6419
lz4,2048,2063655312,850663509,2.4259,16.2698,49.6328
lz4,4096,2063655312,834476582,2.4730,14.7713,51.2327
lz4,8192,2063655312,821038912,2.5135,15.9848,52.0841
lz4,16384,2063655312,829431820,2.4880,16.5927,51.2940
lz4,32768,2063655312,825828223,2.4989,16.3770,50.5769
lz4,65536,2063655312,824123695,2.5041,15.8231,49.0612
snappy,256,2063655312,871489214,2.3680,13.0075,30.1957
snappy,512,2063655312,748632189,2.7566,11.7560,36.6463
snappy,1024,2063655312,667256726,3.0927,11.1690,46.7715
snappy,2048,2063655312,617932275,3.3396,11.5981,55.6663
snappy,4096,2063655312,589858181,3.4986,11.1344,74.9568
snappy,8192,2063655312,574133042,3.5944,9.4585,79.7692
snappy,16384,2063655312,565733228,3.6478,9.2469,82.3003
snappy,32768,2063655312,561179848,3.6774,10.7201,83.1493
snappy,65536,2063655312,558886452,3.6924,11.0210,82.3609
zstd,256,2063655312,869187629,2.3742,1.6561,3.6622
zstd,512,2063655312,628334582,3.2843,2.8234,5.8338
zstd,1024,2063655312,484887686,4.2559,4.4828,8.3759
zstd,2048,2063655312,385797480,5.3491,5.7466,13.4405
zstd,4096,2063655312,342978159,6.0169,8.5803,21.6247
zstd,8192,2063655312,318932219,6.4705,9.8764,28.4493
zstd,16384,2063655312,305770983,6.7490,11.8561,33.0051
zstd,32768,2063655312,298590633,6.9113,12.1309,38.4465
zstd,65536,2063655312,294642284,7.0039,12.1745,44.1755
